rawcode,shop,name_ru,name_en,category,element,rank,goldcost,STR,AGI,INT,AllStat,DMG,DEF,MS,AS,MaxHP,MaxMP,HP_regen,MP_regen,Lifesteal,Crit,Evasion,active_CD,active_mana,abilities_resolved,description_ru,description_en,crafted_from,crafts_into
I00U,,"Кольцо Шторма, Ранг A","Storm Ring, Rank A",Vongola Ring,Storm,A,2750,,22,22,,,,,,,,,75,,,,,,+75% MP regen (A04O); +22 AGI (A04S); +22 INT (A04T),"Повышение AGI на 22 ед., INT на 22 ед. и MP Regen на 75%","Increases AGI by 22, INT by 22 and MP Regen by 75%.","Storm Ring, Rank B (I00T) + Upgrade Item (I00E)",Vongola Storm Ring (I00V)
I00V,,Кольцо Шторма Вонголы,Vongola Storm Ring,Vongola Ring,Storm,S,3500,,27,27,,,,,,,,,100,,,,,,+100% MP regen (A04P); +27 AGI (A04V); +27 INT (A04U),"Повышение AGI на 27 ед., INT на 27 ед. и MP Regen на 100%","Increases AGI by 27, INT by 27 and MP Regen by 100%.","Storm Ring, Rank A (I00U) + Upgrade Item (I00E)",True Vongola Storm Ring (I00W)
I00W,Hight-level Vongola Rings and Done items (n00C),Настоящее Кольцо Шторма Вонголы,True Vongola Storm Ring,Vongola Ring,Storm,Full,4250,,35,35,,,,,,,,,100,,,,20,50,Active CD=20s mana=50 (A04Y); +100% MP regen (A04P); +35 AGI (A18E); +35 INT (A98E),"Повышение AGI на 35 ед., INT на 35 ед. и MP Regen на 100%. |  | Active: ""Выстрел Бури"" - Выстреливает в противника пламенем шторма и наносит 3*INT + 3*AGI. Так же, эффекты магической защиты ослаблены на 30% в течении 5 секунд. Дальность: 900 |  | Перезарядка: 20 сек.","Increases AGI by 35, INT by 35 and MP Regen by 100%. | Active: ""Storm Shot"" - fires storm flame at enemy dealing 3*INT + 3*AGI. Also, magic resistance effects are weakened by 30% for 5 sec. Range: 900. | Cooldown: 20 sec.",Vongola Storm Ring (I00V) + Upgrade Item (I00E),Gae Dearg (IGDi)
IGDi,Ultimate Items 3 (n00I),Gae Dearg,Gae Dearg,,,,5300,15,40,40,,,,,,,,,125,,,,20,50,"Active CD=20s mana=50 (IGDs); +15 STR (A03R); +125% MP regen (A04Q); +40 AGI, +40 INT (AGDb)","Повышение STR на 15, AGI и INT на 40 ед. и MP Regen на 125%. |  | Passive: [Mana Destruction] - урон больше 7% HP цели уничтожает 8% её Max MP. CD 10 sec. | • [Crimson Rose of Exorcism] - Выстреливает в противника копьем и наносит 3*INT + 3*AGI. Так же, эффекты магической защиты ослаблены на 40% в течении 5 секунд,при снятии ослабление становится 20% на оставшееся время. Дальность: 1200 | Перезарядка: 20 сек.","Increases STR by 15, AGI and INT by 40 and MP Regen by 125%. | Passive: [Mana Destruction] - damage over 7% target HP destroys 8% of their Max MP. CD: 10 sec. | [Crimson Rose of Exorcism] - fires a spear at enemy dealing 3*INT + 3*AGI. Also, magic resistance effects are weakened by 40% for 5 sec, on removal becomes 20% for remaining time. Range: 1200. | Cooldown: 20 sec.",True Vongola Storm Ring (I00W) + Gae Dearg (Recipe) (IGDr),
I056,Mare Rings (n00S),"Кольцо Грозы Маре, Ранг D","Mare Lightning Ring, Rank D",Mare Ring,Lightning,D,1000,,,,9,,,,,,,,,,,,,,+9 AllStat (A0YH),Повышение AllStat на 9 ед.,Increases AllStat by 9.,,"Mare Lightning Ring, Rank C (I057)"
I057,,"Кольцо Грозы Маре, Ранг C","Mare Lightning Ring, Rank C",Mare Ring,Lightning,C,1750,,,,13,,,,,,,,,,,,,,+13 AllStat (A14N),Повышение AllStat на 13 ед.,Increases AllStat by 13.,"Mare Lightning Ring, Rank D (I056) + Upgrade Item (I00E)","Mare Lightning Ring, Rank B (I058)"
I058,,"Кольцо Грозы Маре, Ранг B","Mare Lightning Ring, Rank B",Mare Ring,Lightning,B,2500,,,,16,,,,,,,,,,,,,,+16 AllStat (A0W1),Повышение AllStat на 16 ед.,Increases AllStat by 16.,"Mare Lightning Ring, Rank C (I057) + Upgrade Item (I00E)","Mare Lightning Ring, Rank A (I059)"
I059,,"Кольцо Грозы Маре, Ранг A","Mare Lightning Ring, Rank A",Mare Ring,Lightning,A,3250,,,,19,,,,,,,,,,,,,,+19 AllStat (A05X),Повышение AllStat на 19 ед.,Increases AllStat by 19.,"Mare Lightning Ring, Rank B (I058) + Upgrade Item (I00E)",Fake Mare Lightning Ring (I05A)
I05A,,Фальшивое Кольцо Грозы Маре,Fake Mare Lightning Ring,Mare Ring,Lightning,S,4000,,,,22,,,,,,,,,,,,,,+22 AllStat (A14O),Повышение AllStat на 22 ед.,Increases AllStat by 22.,"Mare Lightning Ring, Rank A (I059) + Upgrade Item (I00E)",True Mare Lightning Ring (I05B)
I05B,Hight-level Mare Rings (n00R),Истинное Кольцо Грозы Маре,True Mare Lightning Ring,Mare Ring,Lightning,Full,4750,,,,30,,,,,,500,,,,,,30,100,Active CD=30s mana=100 (A187); +30 AllStat (A06P); +500 Max MP (A186),"Повышение AllStat на 30, MP на 500 ед. При получении урона больше 5% Max HP, герой нанесший урон оглушится на 1 сек, при неуязвимости - Немота на 0.5 сек. |  | Активно: Сжигает 10% от Max MP + 10% от текущего MP врагов и отдает 50% владельцу в радиусе 1100, если у врагов не остается маны, оглушает их на 2 сек. Если персонаж неуязвим - и если нет MP - Накладывает немоту на 2 сек. |  | CD: 30 сек.","Increases AllStat by 30, MP by 500. On receiving damage over 5% Max HP, the attacker is stunned for 1 sec; if invulnerable - silenced for 0.5 sec. | Active: Burns 10% Max MP + 10% current MP from enemies and gives 50% to owner in radius 1100. If enemies have no mana, stuns for 2 sec. If invulnerable and no MP - silences for 2 sec. | CD: 30 sec.",Fake Mare Lightning Ring (I05A) + Upgrade Item (I00E),Medusa - Dr.Stone (IMDi)
IMDi,Ultimate Items 3 (n00I),Medusa - Dr.Stone,Medusa - Dr.Stone,,,,5550,,,,30,,,,,,,,,,,,,,Item Transfer (on death) (IMDs); +30 AllStat (AMDb),"Повышение AGI на 30, INT на 30, STR на 30 |  |  • [Petrification] - нажатием (или Esc дважды) превращает героя в камень на 3 секунды и снимает негативные эффекты. Лечит на 15% HP. | CD: 45 секунд.","Increases AGI by 30, INT by 30, STR by 30. | [Petrification] - on press (or Esc twice) turns hero to stone for 3 sec and removes negative effects. Heals 15% HP. | CD: 45 sec.","True Mare Lightning Ring (I05B) + Staff of Darkness, Rank D (I01W) + Vongola Gloves (I008)",
I04M,Mare Rings (n00S),"Кольцо Неба Маре, Ранг D","Mare Sky Ring, Rank D",Mare Ring,Sky,D,1000,,10,10,,,,,,,,,,,,,,,"+10 AGI, +10 INT (A20P); ? (A30P)","Повышение AGI и INT на 10 ед., HP на 300","Increases AGI and INT by 10, HP by 300.",,"Mare Sky Ring, Rank C (I04N)"
I128,Recipes 3 (n0J2),All Fiction (рецепт),All Fiction (Recipe),,,,1250,,,,,,,,,,,,,,,,,,,"Увеличение AllStat на 30,AS: +135%. |  | Active: Владельца нельзя выделить целевыми способностями в течении 3 сек, снимает базовые дебаффы в течении 3 сек,а также эффекты: | Эссенция льда, Гин:T, Сабрак:E, Хассан:G, Вейвер:T,Кенширо: G,Акаме: F,Ичибей:F,T. | Нельзя покупать с Imagine Breaker, Medusa, Броней Бороса. | Перезарядка: 40 сек. |  | Требуется: Истинное Кольцо Неба Маре(4750)+Рецепт(1250).","Increases AllStat by 30, AS +135%. | Active: Owner cannot be targeted by abilities for 3 sec, removes basic debuffs for 3 sec, also removes effects: | Ice Essence, Gin:T, Sabrac:E, Hassan:G, Waver:T, Kenshiro:G, Akame:F, Ichibei:F,T. | Cannot buy with Imagine Breaker, Medusa, Boros Armor. | Cooldown: 40 sec. | Requires: True Mare Sky Ring (4750) + Recipe (1250).",,All Fiction (I129)
I04N,,"Кольцо Неба Маре, Ранг C","Mare Sky Ring, Rank C",Mare Ring,Sky,C,1750,,15,15,,,,,,450,,,,,,,,,"+15 AGI, +15 INT (A21P); +450 Max HP (A0OA)","Повышение AGI и INT на 15 ед., HP на 450","Increases AGI and INT by 15, HP by 450.","Mare Sky Ring, Rank D (I04M) + Upgrade Item (I00E)","Mare Sky Ring, Rank B (I04O)"
I04O,,"Кольцо Неба Маре, Ранг B","Mare Sky Ring, Rank B",Mare Ring,Sky,B,2500,,20,20,,,,,,600,,,,,,,,,"+20 AGI, +20 INT (A22P); +600 Max HP (A1S9)","Повышение AGI и INT на 20 ед., HP на 600","Increases AGI and INT by 20, HP by 600.","Mare Sky Ring, Rank C (I04N) + Upgrade Item (I00E)","Mare Sky Ring, Rank A (I04P)"
I04P,,"Кольцо Неба Маре, Ранг A","Mare Sky Ring, Rank A",Mare Ring,Sky,A,3250,,25,25,,,,,,750,,,,,,,,,"+25 AGI, +25 INT (A23P); +750 Max HP (A167)","Повышение AGI и INT на 25 ед., HP на 750","Increases AGI and INT by 25, HP by 750.","Mare Sky Ring, Rank B (I04O) + Upgrade Item (I00E)",Fake Mare Sky Ring (I04Q)
I04Q,,Фальшивое Кольцо Неба Маре,Fake Mare Sky Ring,Mare Ring,Sky,S,4000,,30,30,,,,,,900,,,,,,,,,"+30 AGI, +30 INT (A24P); +900 Max HP (A0SB)","Повышение AGI и INT на 30 ед., HP на 900","Increases AGI and INT by 30, HP by 900.","Mare Sky Ring, Rank A (I04P) + Upgrade Item (I00E)",True Mare Sky Ring (I04R)
I04R,Hight-level Mare Rings (n00R),Истинное Кольцо Неба Маре,True Mare Sky Ring,Mare Ring,Sky,Full,4750,,35,35,,,,,,1000,,,,,,,15,50,"Active CD=15s mana=50 (A10Q); +35 AGI, +35 INT (A25P); +1000 Max HP (A0OE)","Повышение AGI и INT на 35 ед., HP на 1000. |  | Active: ""Чистое Небо"" - очищает персонажа от негативных эффектов на 2 секунды и восстанавливает 12% от Max HP. Снимает эффект D Юджи. |  | Перезарядка: 15 сек.","Increases AGI and INT by 35, HP by 1000. | Active: ""Clear Sky"" - cleanses the hero of negative effects for 2 sec and restores 12% Max HP. Removes Yuji D effect. | Cooldown: 15 sec.",Fake Mare Sky Ring (I04Q) + Upgrade Item (I00E),All Fiction (I129)
I129,Ultimate Items 3 (n00I),All Fiction,All Fiction,,,,6000,,,,30,,,,135,,,,,,,,40,100,Active CD=40s mana=100 (AI35); +30 AllStat (A06P); +135% AS (A0TV),"Увеличение AllStat на 30,AS: +135%. | Можно активировать на Esc. | Active: Владельца нельзя выделить целевыми способностями в течении 3 сек, снимает базовые дебаффы в течении 3 сек,а также эффекты: | Эссенция льда, Гин:T, Сабрак:E, Хассан:G, Вейвер:T,Кенширо: G,Акаме: F,Ичибей:F,T. | Нельзя покупать с Imagine Breaker, Medusa, Броней Бороса. | Перезарядка: 40 сек.","Increases AllStat by 30, AS +135%. | Can be activated on Esc. | Active: Owner cannot be targeted by abilities for 3 sec, removes basic debuffs for 3 sec, also removes effects: | Ice Essence, Gin:T, Sabrac:E, Hassan:G, Waver:T, Kenshiro:G, Akame:F, Ichibei:F,T. | Cannot buy with Imagine Breaker, Medusa, Boros Armor. | Cooldown: 40 sec.",True Mare Sky Ring (I04R) + All Fiction (Recipe) (I128),
I04V,Ultimate Items 3 (n00I),Imagine Breaker,Imagine Breaker,,,,6300,,,,35,,,,,,,,,,,,,,Item Transfer (on death) (A12B); +35 AllStat (A0LD),"Увеличение AllStat на 35, При нажатии Esc дважды можно активировать предмет во время оглушения. | Нельзя покупать с Бороса, Medusa, All Fiction. | ""Бешенство"" - делает невосприимчивым к негативным эффектам на 7 сек, но уменьшает магический DMG на 20%. |  | CD: 55 сек.","Increases AllStat by 35. Can activate on Esc twice during stun. | Cannot buy with Boros Armor, Medusa, All Fiction. | ""Frenzy"" - makes immune to negative effects for 7 sec and invulnerable to many initial channeling abilities and items, but reduces magic DMG by 20%. | CD: 55 sec.","Vongola Gloves Lv.3 (I03I) + Sword, Rank A (I01K) + Medallion of Courage (I01M)",
IHYr,Recipes 3 (n0J2),Песочные часы Юкирин (Рецепт),Yukirin's Hourglass (Recipe),,,,950,,,,,,,,,,,,,,,,,,,"Повышение STR и AGI на 35, INT на 35. |  |  • [Trial of Time] - dealing damage more 50 reduces the target's HP regeneration efficiency for 5 sec. Dealing damage refreshes the duration and increases healing damage: -25/50/75%. CD: 0.5 сек. At 3 charges, half of the enemy's unrecovered HP is transferred to the owner. | Removable by cleansing. (see recipe) |  Active: Reduce Healing on aoe by 15%(30% if target have Imagine Breaker) can't be clean by cleaning like sky mare,breaker only sapphire and same. | Range: 800 | AOE: 400 | CD: 30 |  Сборка: Рец. + Солнце Маре B ранг + Весомый Аргумент","Increases STR and AGI by 35, INT by 35. | [Trial of Time] - dealing damage over 50 reduces target HP regen efficiency for 5 sec. Dealing damage refreshes duration and increases healing reduction: -25/50/75%. CD: 0.5 sec. At 3 charges, half of enemy's unrecovered HP is transferred to owner. | Removable by cleansing. | Active: Reduce Healing on AoE by 15% (30% if target has Imagine Breaker), only removable by Sapphire and similar. | Range: 800 | AoE: 400 | CD: 30. | Recipe: Recipe + Mare Sun Ring Rank B + Solid Argument.",,Yukirin's Hourglass (IHYi)
I05C,Mare Rings (n00S),"Кольцо Солнца Маре, Ранг D","Mare Sun Ring, Rank D",Mare Ring,Sun,D,1000,10,,,,,,,,,,,,,,,,,+10 STR (A03P),"Повышение STR на 10 ед., HP regen: 10% от INT.","Increases STR by 10, HP regen: 10% of INT.",,"Mare Sun Ring, Rank C (I05D)"
IOS3,Ultimate Sets 2 (n00U),Весомый Аргумент,Solid Argument,,,,1300,,,,12,,,,,,,,,,,,,,+12 AllStat (A0VL),Повышение AllStat на 12. |  |  • [Разрушитель постоянства] - каждое нанесение урона свыше 50 единиц уменьшает регенерацию цели на 25% на 5 секунд. Подавляется Часами Юкирин и не работает с Комплектом Онидзуки.,Increases AllStat by 12. | [Constancy Breaker] - each damage dealt over 50 reduces target regen by 25% for 5 sec. Suppressed by Yukirin's Hourglass and does not work with Onizuka Set.,,"Yukirin's Hourglass (IHYi) , Sode no Shirayuki Weapon (ISHk) , Onizuka Set (I1S4)"
I05D,,"Кольцо Солнца Маре, Ранг С","Mare Sun Ring, Rank C",Mare Ring,Sun,C,1750,15,,,,,,,,,,,,,,,,,+15 STR (A03R),"Повышение STR на 15 ед., HP regen: 11% от INT.","Increases STR by 15, HP regen: 11% of INT.","Mare Sun Ring, Rank D (I05C) + Upgrade Item (I00E)","Mare Sun Ring, Rank B (I05E)"
I05E,,"Кольцо Солнца Маре, Ранг B","Mare Sun Ring, Rank B",Mare Ring,Sun,B,2500,20,,,,,,,,,,,,,,,,,+20 STR (A03T),"Повышение STR на 20 ед., HP regen: 12% от INT.","Increases STR by 20, HP regen: 12% of INT.","Mare Sun Ring, Rank C (I05D) + Upgrade Item (I00E)","Yukirin's Hourglass (IHYi) , Mare Sun Ring, Rank A (I05F)"
IHYi,Ultimate Items 4 (n00J),Песочные часы Юкирин,Yukirin's Hourglass,,,,4750,,,,35,,,,,,,,,,,,30,200,Active CD=30s mana=200 (AI28); +35 AllStat (AP07),"Повышение STR и AGI на 35, INT на 35. |  |  • [Trial of Time] - dealing damage more 50 reduces the target's HP regeneration efficiency for 5 sec. Dealing damage refreshes the duration and increases healing damage: -25/50/75%. CD: 0.5 сек. At 3 charges, half of the enemy's unrecovered HP is transferred to the owner. | Removable by cleansing. (see recipe) |  |  Active: Reduce Healing on aoe by 15%(30% if target have Imagine Breaker) can't be clean by cleaning like sky mare,breaker only sapphire and same. | Range: 800 | AOE: 400 | CD: 30","Increases STR and AGI by 35, INT by 35. | [Trial of Time] - dealing damage over 50 reduces target HP regen efficiency for 5 sec. Dealing damage refreshes duration and increases healing reduction: -25/50/75%. CD: 0.5 sec. At 3 charges, half of enemy's unrecovered HP is transferred to owner. | Removable by cleansing. | Active: Reduce Healing on AoE by 15% (30% if target has Imagine Breaker), only removable by Sapphire and similar. | Range: 800 | AoE: 400 | CD: 30.","Solid Argument (IOS3) + Mare Sun Ring, Rank B (I05E) + Yukirin's Hourglass (Recipe) (IHYr)",
ISTr,Recipes 3 (n0J2),Stigmata Tesseract (Рецепт),Stigmata Tesseract (Recipe),,,,400,,,,,,,,,,,,,,,,,,,"Повышение INT на 35, сопротивления урону на 10%, AS на 50%, атаку на 40 и регенерация MP на 75%,HP: +500. |  | Пассивно: Наносимый урон больше 60 увеличивается на 3% Max HP цели в виде чистого неблокируемого урона. Не работает на иллюзии. CD: 3 сек. | Активно: Указанный противник получает метку на 6 секунд. Метка позволяет пробить щиты цели всем с возможностью очистить(сапфиром и подобным), а сам владелец пробивает врага в течении 5 и можно снять сапфиром. CD: 25 сек. |   |  Сборка: Рец.(400) + Мусс для Волос(1400) + Шляпа Акацуки(1100) + Сфера Льда(2000)","Increases INT by 35, damage resistance by 10%, AS by 50%, AD by 40 and MP Regen by 75%, HP +500. | Passive: Damage dealt over 60 is increased by 3% of target Max HP as pure unblockable damage. Does not work on illusions. CD: 3 sec. | Active: Target enemy receives a mark for 6 sec. Mark allows piercing target shields for all (cleansable by Sapphire and similar), owner pierces for 5 sec (also removable by Sapphire), +10% bonus damage against shielded enemies. When used on self, owner gets piercing for 3 sec. CD: 25 sec. | Recipe: Recipe (400) + Hair Mousse (1400) + Akatsuki Hat (1100) + Ice Sphere (2000).",,Stigmata Tesseract (ISTi)
IOS1,Ultimate Sets 2 (n00U),Мусс для Волос,Hair Mousse,,,,1400,,,,,40,,,50,,,,,,,,,,Spellbook: [+40 DMG (A25Y); +50% AS (A0LJ)] (A2EV),"Повышение атаки на 40, AS на 50%. |  |  • [Дозировка пафосом] - каждое нанесение урона свыше 30 ед. дополнительно наносит 30 чистого блокируемого урона. Не работает с Комплектом Онидзуки. Перезарядка: 1 секунда.","Increases AD by 40, AS by 50%. | [Pathos Dosage] - each damage dealt over 30 additionally deals 30 pure blockable damage. Does not work with Onizuka Set. Cooldown: 1 sec.",,"Stigmata Tesseract (ISTi) , Onizuka Set (I1S4)"
ISTi,Ultimate Items 4 (n00J),Stigmata Tesseract,Stigmata Tesseract,,,,4900,,,35,,40,,,50,500,,,75,,,,25,125,Active CD=25s mana=125 (ISTs); Spellbook: [+35 INT (A98E); +75% MP regen (A04O); Spellbook: [+40 DMG (A25Y); +50% AS (A0LJ)] (A2EV); +500 Max HP (A0S9)] (AI39),"Повышение INT на 35, сопротивления урону на 10%, AS на 50%, атаку на 40 и регенерация MP на 75%,HP: +500. |  | Пассивно: Наносимый урон больше 60 увеличивается на 3% Max HP цели в виде чистого неблокируемого урона. Не работает на иллюзии. CD: 3 сек. | Активно: Указанный противник получает метку на 6 секунд. Метка позволяет пробить щиты цели всем с возможностью очистить(сапфиром и подобным), а сам владелец пробивает врага в течении 5 и можно снять сапфиром, дополнительный урон +10% по врагам с щитами. При использовании на себя владелец получает єффект пробития на 3 сек  CD: 25 сек.","Increases INT by 35, damage resistance by 10%, AS by 50%, AD by 40 and MP Regen by 75%, HP +500. | Passive: Damage dealt over 60 is increased by 3% of target Max HP as pure unblockable damage. Does not work on illusions. CD: 3 sec. | Active: Target enemy receives a mark for 6 sec. Mark allows piercing target shields for all (cleansable by Sapphire and similar), owner pierces for 5 sec (also removable by Sapphire), +10% bonus damage against shielded enemies. When used on self, owner gets piercing for 3 sec. CD: 25 sec.",Akatsuki Hat (I03Y) + Hair Mousse (IOS1) + Ice Sphere (I02S) + Stigmata Tesseract (Recipe) (ISTr),
I06K,Ultimate Sets 2 (n00U),Перчатка Квинси,Quincy Glove,,,,1200,,,,13,40,,,,,,,,,,,,,+13 AllStat (A14N); +40 DMG (A05W),"Увеличение AllStat на 13 ед., атаку на 40 ед.","Increases AllStat by 13, AD by 40.",,Quincy Set (I06J)
I06L,Ultimate Sets 2 (n00U),Крест Квинси,Quincy Cross,,,,1200,,,,,,,,,,,20,,,,,,,+20 HP/s regen (A03V),Увеличение Regen HP на 20 ед.,Increases HP Regen by 20.,,Quincy Set (I06J)
I06M,Ultimate Sets 2 (n00U),Медальон Квинси,Quincy Medallion,,,,1300,,,,,,,,,1000,,,,,,,,,+1000 Max HP (A0OE),Увеличение запаса HP на 1000 ед.,Increases Max HP by 1000.,,Quincy Set (I06J)
I06N,Ultimate Sets 2 (n00U),Шинель Квинси,Quincy Coat,,,,1300,,,,10,,,,,,,,,,,,,,Aura: +20% MS (S00D); +10 AllStat (A10P),"Увеличение скорости передвижение на 20%, характеристик на 10 ед.","Increases MS by 20%, AllStat by 10.",,"Quincy Set (I06J) , Holy Grail (I068)"
I06J,Ultimate Items 4 (n00J),Комплект Квинси,Quincy Set,,,,5000,,,,35,,,,,,,15,-1.5,,,,30,250,Active CD=30s mana=250 (A1G9); Spellbook: [+35 AllStat (A0LD); Brilliance Aura: +-2% MP regen (A1G8); Aura: +30% MS (S00C); +15 HP/s regen (A03U)] (ACSb),"Увеличение AllStat на 35 ед., Regen HP на 15 и скорости передвижения на 30%, выжигание маны противников радиусе 500 ед. 1.5% ед. в сек. |  | Активная способность: ""The Balance"" -  см. рецепт |  | Длительность: 7 сек. | CDR: 30 сек.","Increases AllStat by 35, HP Regen by 15 and MS by 30%. Burns enemy MP in radius 500 by 1.5%/sec. | Active ability: ""The Balance"" - see recipe. | Duration: 7 sec. | CD: 30 sec.",Quincy Glove (I06K) + Quincy Cross (I06L) + Quincy Medallion (I06M) + Quincy Coat (I06N),
I06S,Recipes 3 (n0J2),Калейдожезл Руби (рецепт),Kaleidoscope Ruby (Recipe),,,,1500,,,,,,,,,,,,,,,,,,,"Увеличение AllStat на 35 ед., понижение сопротивления магии противников на 15% в радиусе 1000 ед. |  | Активная способность: ""Slash"" |  | Требуется: Запечатанный Посох Тьмы, Рецепт","Increases AllStat by 35, reduces enemy magic resistance by 15% in radius 1000. | Active ability: ""Slash"" | Requires: Sealed Staff of Darkness, Recipe.",,Kaleidoscope Ruby (I06Q)
I06Q,Ultimate Items 4 (n00J),Калейдожезл Руби,Kaleidoscope Ruby,,,,5000,,,,35,,,,,,,,,,,,15,190,Active CD=15s mana=190 (A1GE); +35 AllStat (A0LD); Devotion Aura (A1GG),"Увеличение AllStat на 35 ед., повышение магического урона по противникам в радиусе 1000 ед на 15%. |  | Активная способность: ""Slash"" -  выпускает волну силы, которая наносит 2*AllStat. |  | CDR: 15 сек.","Increases AllStat by 35, increases magic damage to enemies in radius 1000 by 15%. | Active ability: ""Slash"" - releases a power wave dealing 2*AllStat. | CD: 15 sec.",Sealed Staff of Darkness (I06C) + Kaleidoscope Ruby (Recipe) (I06S),
I06T,Recipes 3 (n0J2),Калейдожезл Сапфир (рецепт),Kaleidoscope Sapphire (Recipe),,,,1500,,,,,,,,,,,,,,,,,,,"Увеличение AllStat на 35 ед., повышение сопротивления магии союзников на 15% в радиусе 1000 ед. |  | Активная способность: ""Mass Purge"" |  | Требуется: Запечатанный Посох Тьмы, Рецепт","Increases AllStat by 35, increases ally magic resistance by 15% in radius 1000. | Active ability: ""Mass Purge"" | Requires: Sealed Staff of Darkness, Recipe.",,Kaleidoscope Sapphire (I06R)
I06R,Ultimate Items 4 (n00J),Калейдожезл Сапфир,Kaleidoscope Sapphire,,,,5000,,,,35,,,,,,,,,,,,20,100,Active CD=20s mana=100 (A1GK); Devotion Aura (A1GI); +35 AllStat (A0LD),"Увеличение AllStat на 35 ед., повышение сопротивления магии союзников на 15% в радиусе 1000 ед. |  | Активная способность: ""Mass Purge"" - выпускает волну в указанном направлении, который снимает через 2 секунды все эффекты и щиты с задетых врагов, у которых не было эффекта Imagine Breaker. С задетых союзников мгновенно снимаются ограничения в восстановлении HP и восстанавливается 5% Max HP. |  | CDR: 20 сек.","Increases AllStat by 35, increases ally magic resistance by 15% in radius 1000. | Active ability: ""Mass Purge"" - releases a wave in the targeted direction that after 2 sec removes all effects and shields from affected enemies without Imagine Breaker. Affected allies instantly have HP recovery restrictions removed and restore 5% Max HP. | CD: 20 sec.",Sealed Staff of Darkness (I06C) + Kaleidoscope Sapphire (Recipe) (I06T),
I01W,Base Items (n004),"Посох Тьмы, Ранг D","Staff of Darkness, Rank D",,,,500,,,,8,10,,,10,,,,,,,,,,"Dark Aura: -10% enemy DMG, range 600 (A093); +10% AS (A053); +10 DMG (A05Q); +8 AllStat (A0Y2)","Повышение силы атаки на 10 ед., AS +10%, повышение AllStat на 8 ед. |  | Аура Тьмы: уменьшение силы атаки противника на 10%","Increases AD by 10, AS +10%, AllStat by 8. | Dark Aura: reduces enemy AD by 10%.",,"Staff of Darkness, Rank C (I01X) , Medusa - Dr.Stone (IMDi)"
I126,Recipes 4 (n108),Gold Amulet (рецепт),Gold Amulet (Recipe),,,,500,,,,,,,,,,,,,,,,,,,Увеличение AllStat на 15. |  | Passive: 15 % нанесенного урона конвертируется в HP владельца | Active: Усиливает пассивный эффект на 100% в течении 3 сек | Перезарядка: 15 сек. |  | Требуется: Посох Тьмы Ранга B(2000)+Рецепт(500).,Increases AllStat by 15. | Passive: 15% of dealt damage converts to owner HP. | Active: Doubles the passive effect for 3 sec. | Cooldown: 15 sec. | Requires: Staff of Darkness Rank B (2000) + Recipe (500).,,Gold Amulet (I104)
I127,Recipes 4 (n108),Silver Amulet (рецепт),Silver Amulet (Recipe),,,,500,,,,,,,,,,,,,,,,,,,Увеличение AllStat на 15. |  | Passive: 15 % нанесенного урона конвертируется в MP владельца | Active: Усиливает пассивный эффект на 100% в течении 3 сек | Перезарядка: 15 сек. |  | Требуется: Посох Тьмы Ранга B(2000)+Рецепт(500).,Increases AllStat by 15. | Passive: 15% of dealt damage converts to owner MP. | Active: Doubles the passive effect for 3 sec. | Cooldown: 15 sec. | Requires: Staff of Darkness Rank B (2000) + Recipe (500).,,Silver Amulet (I105)
I01X,,"Посох Тьмы, Ранг С","Staff of Darkness, Rank C",,,,1250,,,,12,20,,,20,,,,,,,,,,"Dark Aura: -20% enemy DMG, range 600 (A094); +20% AS (A057); +20 DMG (A05R); +12 AllStat (A0VL)","Повышение силы атаки на 20 ед., AS +20%, повышение AllStat на 12 ед. |  | Аура Тьмы: уменьшение силы атаки противника на 20%","Increases AD by 20, AS +20%, AllStat by 12. | Dark Aura: reduces enemy AD by 20%.","Staff of Darkness, Rank D (I01W) + Upgrade Item (I00E)","Staff of Darkness, Rank B (I01Y)"
I01Y,,"Посох Тьмы, Ранг B","Staff of Darkness, Rank B",,,,2000,,,,16,30,,,30,,,,,,,,,,"Dark Aura: -30% enemy DMG, range 600 (A095); +30% AS (A05B); +30 DMG (A05U); +16 AllStat (A0W1)","Повышение силы атаки на 30 ед., AS +30%, повышение AllStat на 16 ед. |  | Аура Тьмы: уменьшение силы атаки противника на 30%","Increases AD by 30, AS +30%, AllStat by 16. | Dark Aura: reduces enemy AD by 30%.","Staff of Darkness, Rank C (I01X) + Upgrade Item (I00E)","Gold Amulet (I104) , Silver Amulet (I105) , Staff of Darkness, Rank A (I01Z)"
I104,Ultimate Items 4 (n00J),Gold Amulet,Gold Amulet,,,,2500,,,,15,,,,,,,,,,,,15,10,Active CD=15s mana=10 (AI15); +15 AllStat (A05V),Увеличение AllStat на 15. |  | Passive: 15 % нанесенного урона конвертируется в HP владельца | Active: Усиливает пассивный эффект на 100% в течении 3 сек | Перезарядка: 15 сек.,Increases AllStat by 15. | Passive: 15% of dealt damage converts to owner HP. | Active: Doubles the passive effect for 3 sec. | Cooldown: 15 sec.,"Staff of Darkness, Rank B (I01Y) + Gold Amulet (Recipe) (I126)",Perfect Amulet (I106)
